"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1_sim","res_2_sim","dem_1_sim","dem_2_sim","dem_3_sim"
77,2,1,1,1,NA,8,NA,NA,2
78,1,NA,NA,2,1,NA,79,NA,2
79,NA,NA,1,1,2,14,85,NA,2
80,2,1,NA,2,3,16,16,1,NA
81,2,NA,NA,2,2,11,NA,1,2
82,1,NA,1,NA,NA,6,30,1,2
83,NA,NA,NA,2,NA,6,33,NA,2
84,2,1,1,1,NA,NA,NA,1,2
85,1,NA,1,NA,3,7,51,1,NA
86,NA,NA,NA,NA,2,NA,NA,NA,1
87,1,NA,NA,2,3,NA,NA,1,2
88,NA,1,NA,NA,NA,14,NA,2,NA
89,NA,NA,1,NA,3,15,57,NA,1
90,NA,NA,NA,NA,NA,5,NA,1,NA
91,NA,NA,NA,NA,2,7,66,NA,NA
92,1,1,1,NA,1,NA,NA,NA,NA
93,NA,2,1,NA,2,NA,NA,1,2
94,NA,1,1,NA,1,14,63,1,2
95,2,1,NA,NA,2,NA,12,3,NA
96,1,NA,1,1,NA,10,51,1,NA
97,NA,NA,NA,1,NA,11,6,1,2
98,2,1,1,NA,1,9,NA,2,2
99,2,NA,1,NA,NA,16,NA,4,2
100,NA,1,1,2,2,NA,NA,1,NA
101,NA,2,1,2,NA,11,0,3,2
102,1,NA,1,1,NA,1,NA,1,NA
103,NA,2,NA,2,NA,16,41,2,2
104,2,1,NA,1,NA,NA,62,1,NA
105,NA,NA,1,1,NA,3,NA,1,2
106,NA,NA,1,2,NA,14,NA,NA,2
107,1,NA,2,1,NA,7,52,NA,NA
108,NA,NA,1,NA,NA,9,NA,NA,2
109,1,NA,NA,1,1,7,29,4,2
110,1,1,NA,NA,NA,15,NA,NA,2
111,2,1,NA,NA,2,NA,86,1,NA
112,NA,1,NA,NA,NA,2,NA,NA,2
113,NA,1,1,NA,NA,11,2,1,NA
114,2,NA,NA,NA,NA,15,NA,NA,2
115,1,1,1,1,2,NA,52,NA,NA
116,2,NA,1,NA,2,15,25,NA,NA
117,NA,1,NA,NA,2,15,NA,1,2
118,NA,1,1,1,NA,5,NA,1,2
119,1,NA,NA,2,1,NA,NA,1,2
120,NA,NA,NA,NA,3,6,NA,NA,2
121,2,1,1,1,2,5,18,NA,NA
122,NA,1,1,NA,1,NA,NA,1,NA
123,2,1,NA,NA,2,NA,56,1,2
124,2,NA,1,NA,3,12,NA,3,NA
125,1,1,NA,1,NA,13,NA,4,2
126,2,1,1,NA,2,NA,NA,NA,NA
127,1,1,2,1,3,7,NA,NA,2
128,NA,1,NA,2,NA,9,49,1,NA
129,1,1,NA,2,1,16,21,NA,2
130,2,NA,1,2,NA,NA,NA,1,2
131,NA,NA,NA,2,1,NA,NA,NA,2
132,NA,NA,1,NA,1,NA,NA,NA,2
133,NA,1,NA,NA,NA,NA,83,1,2
134,NA,2,NA,1,NA,11,NA,1,NA
135,1,1,1,1,3,NA,NA,1,NA
136,NA,1,1,NA,NA,1,NA,2,NA
137,NA,1,1,NA,1,NA,NA,NA,NA
138,2,NA,NA,NA,2,NA,NA,NA,2
139,NA,NA,1,1,1,NA,31,NA,NA
140,NA,1,1,NA,3,NA,2,NA,NA
141,1,1,NA,NA,NA,9,4,2,2
142,NA,1,NA,NA,1,3,NA,1,2
143,1,1,NA,NA,1,3,NA,2,2
144,1,1,1,NA,2,NA,5,1,2
145,1,1,1,2,NA,8,0,1,NA
146,NA,1,1,2,2,NA,NA,NA,NA
147,2,1,1,NA,NA,5,73,1,NA
148,1,1,NA,NA,NA,NA,81,1,2
149,1,1,NA,2,2,3,NA,3,2
150,2,1,1,NA,2,5,NA,NA,2
151,2,1,NA,NA,2,3,19,NA,2
152,1,NA,1,1,NA,NA,NA,1,NA
153,NA,1,1,1,NA,NA,NA,1,2
154,2,1,NA,1,2,10,62,NA,2
155,NA,NA,NA,1,NA,4,66,1,2
156,2,1,1,1,2,NA,1,1,2
157,2,NA,1,1,2,NA,71,3,2
158,2,1,NA,NA,2,5,NA,1,NA
159,1,1,1,1,NA,NA,0,NA,2
160,1,NA,1,1,NA,15,64,1,2
161,2,NA,1,NA,2,11,39,2,2
162,1,1,1,2,NA,12,8,1,2
163,1,NA,1,2,2,8,NA,1,NA
164,2,NA,NA,2,2,6,31,NA,NA
165,2,1,NA,NA,3,2,26,NA,2
166,2,NA,1,2,1,15,NA,1,2
167,NA,1,1,NA,NA,NA,NA,3,2
168,1,NA,1,2,1,NA,2,1,NA
169,NA,NA,1,2,1,13,43,2,2
170,2,1,NA,NA,3,6,82,1,NA
171,1,2,NA,2,NA,NA,NA,1,NA
172,NA,1,1,NA,2,NA,NA,1,2
173,NA,NA,1,1,1,NA,56,NA,NA
174,NA,1,NA,1,NA,5,NA,3,NA
175,2,NA,1,1,NA,16,76,NA,2
176,NA,1,1,1,NA,NA,NA,NA,NA
177,NA,1,1,2,2,1,NA,NA,NA
178,NA,1,1,1,2,5,19,3,2
179,1,NA,NA,1,1,NA,7,NA,NA
180,NA,NA,NA,NA,3,4,NA,4,NA
181,1,NA,1,NA,NA,6,13,1,2
182,NA,1,1,1,3,NA,NA,NA,2
183,NA,2,NA,NA,3,10,13,3,NA
184,NA,NA,1,1,NA,4,87,NA,2
185,NA,NA,1,NA,3,NA,NA,3,2
186,NA,1,NA,2,NA,7,NA,NA,2
187,NA,NA,NA,NA,1,NA,NA,NA,NA
188,2,NA,1,2,2,15,87,1,NA
189,NA,1,NA,1,NA,NA,79,NA,2
190,2,NA,NA,NA,NA,NA,35,1,NA
191,2,NA,NA,NA,2,16,54,NA,2
192,1,1,1,2,1,5,43,NA,NA
193,2,1,1,NA,NA,16,12,NA,NA
194,1,NA,1,1,NA,8,45,NA,2
195,1,NA,NA,NA,NA,10,42,1,NA
196,NA,1,1,NA,NA,NA,73,1,2
197,2,NA,1,1,NA,NA,25,1,2
198,NA,NA,1,NA,2,NA,NA,1,2
199,2,NA,NA,2,1,15,NA,3,2
200,1,1,1,1,3,NA,NA,NA,2
201,2,1,1,1,NA,8,NA,3,NA
202,2,NA,1,1,2,16,17,NA,NA
203,2,1,1,1,NA,6,57,4,2
204,NA,1,1,2,1,15,33,1,2
205,1,1,1,NA,1,NA,22,1,NA
206,1,1,NA,2,1,13,26,3,NA
207,2,1,NA,NA,NA,5,75,NA,NA
208,NA,NA,1,1,NA,5,69,NA,NA
209,2,NA,1,NA,2,NA,35,NA,2
210,NA,1,1,1,NA,1,NA,3,NA
211,2,1,1,2,NA,NA,40,NA,2
212,2,NA,1,2,NA,7,NA,NA,NA
213,1,1,1,1,1,NA,36,NA,NA
214,NA,NA,1,NA,2,5,34,2,NA
215,1,NA,NA,NA,NA,2,NA,NA,NA
216,2,NA,NA,1,NA,NA,41,NA,1
217,NA,2,1,NA,3,16,4,4,1
218,2,NA,1,2,3,12,NA,NA,2
219,1,1,NA,NA,2,5,49,NA,2
220,NA,NA,1,1,NA,NA,NA,1,1
221,NA,1,NA,1,NA,NA,NA,4,2
222,1,NA,1,NA,1,NA,22,1,NA
223,2,1,NA,NA,3,NA,NA,1,NA
224,1,1,NA,2,3,7,NA,1,2
225,NA,1,NA,2,1,8,NA,1,2
226,NA,NA,1,NA,1,5,NA,NA,2
227,2,NA,NA,1,NA,16,NA,NA,NA
228,1,1,NA,NA,NA,6,19,NA,2
229,1,NA,NA,1,NA,8,78,1,NA
230,1,2,1,2,3,15,59,NA,NA
231,NA,NA,1,1,NA,14,59,2,NA
232,NA,NA,1,NA,3,NA,NA,1,1
233,1,NA,1,1,1,8,NA,2,2
234,2,1,1,2,2,16,5,NA,2
235,1,1,NA,1,NA,NA,49,NA,2
236,NA,1,1,1,NA,4,NA,1,2
237,2,1,NA,2,NA,1,NA,1,2
238,2,1,1,1,2,NA,NA,1,NA
239,1,1,NA,1,3,NA,NA,1,NA
240,1,1,1,1,NA,1,21,1,2
241,1,1,1,2,1,15,NA,1,NA
242,1,NA,1,2,2,NA,41,NA,2
243,NA,1,NA,2,NA,NA,NA,1,2
244,NA,1,1,NA,2,13,NA,4,NA
245,NA,1,1,1,NA,9,7,1,2
246,NA,NA,1,1,NA,NA,73,1,2
247,1,NA,NA,2,NA,NA,42,1,NA
248,1,1,1,NA,NA,1,NA,1,NA
249,NA,NA,NA,1,2,4,NA,1,NA
250,NA,NA,NA,1,1,NA,NA,1,2
251,NA,1,NA,NA,NA,8,NA,NA,NA
252,NA,NA,1,1,NA,10,68,NA,NA
253,NA,NA,1,2,1,NA,NA,1,2
254,2,NA,1,NA,NA,16,NA,NA,2
255,NA,NA,NA,NA,1,9,13,1,NA
256,2,1,1,NA,3,2,20,1,2
257,2,2,1,NA,NA,NA,NA,NA,2
258,2,NA,1,1,NA,15,62,3,2
259,2,NA,1,NA,3,16,NA,2,NA
260,1,2,NA,NA,NA,14,59,NA,NA
261,1,1,NA,2,NA,NA,NA,3,2
262,NA,NA,1,1,1,NA,NA,4,NA
263,NA,1,1,NA,3,NA,NA,1,NA
264,2,1,1,2,2,8,NA,NA,NA
265,1,1,1,1,1,7,11,NA,2
266,1,2,1,1,1,8,NA,1,NA
267,NA,1,1,1,1,3,28,NA,2
268,2,1,NA,NA,NA,NA,NA,1,NA
269,NA,1,2,NA,NA,NA,5,NA,2
270,NA,2,1,1,NA,10,78,1,NA
271,NA,1,1,1,2,11,78,2,2
272,2,1,NA,1,NA,NA,NA,2,2
273,2,1,NA,2,3,NA,7,NA,2
274,NA,NA,NA,2,1,11,44,1,1
275,2,NA,1,NA,NA,NA,NA,3,NA
276,2,NA,NA,2,NA,NA,2,NA,NA
277,2,1,1,2,3,5,NA,NA,2
278,NA,1,NA,1,2,13,43,NA,2
279,2,1,1,2,1,11,70,NA,2
280,1,NA,1,2,NA,NA,NA,NA,2
281,2,NA,1,2,2,NA,NA,1,NA
282,1,1,1,NA,3,NA,61,NA,NA
283,NA,1,1,NA,2,NA,90,1,2
284,NA,NA,1,1,2,6,65,NA,NA
285,NA,NA,1,1,2,NA,76,NA,NA
286,2,NA,NA,1,1,3,35,NA,1
287,2,NA,1,1,NA,3,NA,1,NA
288,2,1,NA,2,NA,10,22,1,NA
289,2,NA,NA,2,NA,NA,79,1,2
290,NA,NA,1,2,NA,2,81,NA,NA
291,2,NA,1,2,1,3,32,1,2
292,2,NA,NA,NA,NA,NA,NA,NA,NA
293,NA,1,1,1,2,5,NA,1,2
294,NA,1,1,NA,2,9,7,1,2
295,1,2,1,NA,NA,NA,34,4,2
296,1,1,1,2,2,11,65,1,NA
297,2,NA,2,1,2,NA,NA,3,2
298,2,1,1,2,2,NA,5,NA,NA
299,1,1,NA,1,2,15,NA,1,NA
300,NA,1,NA,NA,NA,2,42,NA,2
301,2,1,1,1,1,9,NA,1,2
302,NA,1,1,1,1,13,86,1,NA
303,2,2,NA,1,2,7,77,2,2
304,1,2,NA,2,2,2,NA,3,2
305,1,NA,NA,NA,NA,8,14,NA,NA
306,NA,1,1,1,1,15,1,1,NA
307,1,1,NA,NA,NA,NA,NA,1,NA
308,1,1,1,2,1,2,NA,1,NA
309,1,NA,NA,NA,NA,3,87,NA,NA
310,1,NA,1,1,3,15,NA,NA,2
311,NA,NA,NA,2,2,1,28,1,2
312,2,1,1,2,NA,NA,NA,NA,2
313,2,NA,1,1,NA,NA,43,1,2
314,NA,NA,1,1,NA,7,61,1,2
315,NA,1,NA,1,1,4,18,NA,2
316,NA,2,1,2,1,12,43,NA,2
317,NA,1,NA,2,2,10,26,3,NA
318,2,NA,NA,NA,NA,13,30,NA,2
319,NA,1,NA,1,2,1,NA,NA,2
320,2,1,1,NA,1,NA,37,1,2
321,1,NA,NA,NA,NA,5,NA,NA,2
322,1,NA,1,2,NA,10,51,1,2
323,NA,2,NA,2,NA,12,NA,4,NA
324,2,1,NA,2,2,3,NA,3,NA
325,1,2,1,2,NA,9,86,2,2
326,NA,1,1,NA,1,1,24,1,NA
327,1,1,NA,2,2,NA,60,3,NA
328,NA,1,1,1,2,NA,21,NA,2
329,1,NA,1,NA,NA,14,79,NA,NA
330,NA,1,NA,NA,NA,NA,26,NA,2
331,2,1,1,1,NA,3,NA,NA,2
332,2,NA,NA,NA,NA,14,NA,NA,NA
333,2,NA,NA,NA,NA,NA,49,4,2
334,1,1,NA,1,NA,14,44,1,2
335,2,NA,1,2,1,15,NA,1,2
336,NA,NA,1,NA,1,NA,11,1,2
337,1,NA,1,1,NA,16,68,NA,2
338,1,NA,NA,2,1,2,66,1,2
339,NA,NA,1,NA,NA,8,10,1,2
340,NA,1,NA,1,NA,8,44,3,NA
341,1,NA,1,2,1,13,NA,NA,NA
342,NA,1,1,1,3,4,NA,1,1
343,2,1,NA,2,NA,11,NA,NA,NA
344,2,1,1,NA,NA,14,NA,1,NA
345,NA,1,1,1,1,2,79,1,2
346,1,NA,1,NA,2,NA,57,NA,NA
347,NA,NA,1,2,3,NA,NA,1,2
348,2,NA,NA,2,NA,14,NA,1,2
349,NA,1,NA,2,2,1,53,NA,NA
350,1,1,1,1,2,11,25,1,2
351,1,1,1,NA,2,NA,NA,NA,2
352,NA,NA,NA,1,2,NA,NA,NA,NA
353,NA,1,1,1,2,NA,14,1,2
354,NA,1,NA,2,NA,NA,11,1,2
355,2,1,1,2,2,6,NA,NA,2
356,NA,1,1,1,2,NA,NA,1,NA
357,NA,NA,NA,1,NA,NA,NA,1,2
358,2,NA,1,1,NA,11,NA,NA,2
359,2,1,1,2,NA,8,NA,1,2
360,2,1,NA,1,2,NA,NA,1,2
361,NA,1,NA,NA,3,11,NA,1,2
362,2,NA,1,NA,1,15,NA,4,2
363,2,NA,NA,NA,2,NA,2,NA,NA
364,2,2,NA,NA,3,NA,13,1,2
365,NA,1,1,2,NA,10,2,1,2
366,NA,NA,1,2,2,15,NA,1,NA
367,NA,1,1,2,2,14,44,2,2
368,NA,1,1,NA,2,9,NA,3,NA
369,1,1,NA,2,1,NA,66,1,2
370,1,NA,NA,NA,3,14,73,NA,2
371,NA,1,NA,2,NA,NA,NA,NA,2
372,2,2,1,NA,1,5,4,1,2
373,NA,NA,1,1,NA,11,66,NA,NA
374,1,NA,1,2,2,5,65,NA,NA
375,NA,1,1,1,3,NA,55,1,2
376,NA,1,NA,1,2,15,NA,NA,NA
377,NA,NA,1,1,NA,3,NA,1,NA
378,1,1,NA,NA,NA,6,NA,NA,2
379,2,NA,NA,NA,3,14,NA,1,NA
380,1,1,NA,1,NA,7,NA,2,2
381,1,NA,NA,NA,2,NA,81,NA,NA
382,2,1,1,1,NA,NA,NA,1,NA
383,2,NA,2,NA,NA,6,10,NA,NA
384,2,1,2,2,2,NA,NA,1,NA
385,2,2,NA,1,NA,NA,64,1,NA
386,NA,NA,1,1,NA,9,NA,1,2
387,NA,NA,1,NA,2,NA,63,3,2
388,1,1,NA,NA,3,NA,21,NA,NA
389,NA,1,1,NA,3,10,NA,1,2
390,2,2,1,1,NA,NA,32,3,NA
391,1,1,1,2,NA,16,24,1,2
392,2,1,NA,NA,1,7,84,1,NA
393,2,NA,NA,1,NA,NA,62,NA,2
394,NA,NA,2,1,2,NA,NA,NA,2
395,2,NA,NA,NA,NA,NA,NA,NA,1
396,2,1,NA,NA,2,7,59,NA,2
397,2,1,1,NA,3,NA,NA,1,NA
398,2,1,1,2,3,2,NA,1,2
399,1,1,NA,1,1,NA,30,NA,NA
400,2,NA,NA,1,NA,NA,NA,2,NA
401,NA,1,1,1,NA,14,NA,NA,2
402,2,1,1,1,2,NA,NA,NA,2
403,2,NA,1,NA,2,5,NA,NA,2
404,NA,1,1,2,NA,NA,NA,4,NA
405,NA,NA,1,1,2,3,NA,NA,2
406,2,1,1,1,2,8,52,1,NA
407,NA,NA,1,1,1,NA,0,1,2
408,1,2,NA,NA,1,NA,5,NA,NA
409,NA,NA,NA,1,3,3,NA,1,2
410,2,1,1,2,NA,NA,28,1,NA
411,NA,1,1,1,1,3,46,1,2
412,2,NA,NA,1,NA,NA,81,NA,2
413,NA,NA,1,NA,NA,5,46,1,2
414,2,NA,NA,1,2,2,39,NA,2
415,2,1,1,1,1,NA,NA,1,NA
416,NA,1,1,NA,NA,4,NA,1,NA
417,NA,1,1,NA,2,NA,37,NA,2
418,1,NA,1,1,3,8,NA,NA,2
419,2,1,1,NA,NA,NA,NA,NA,2
420,2,NA,1,1,3,12,NA,1,2
421,NA,1,1,NA,2,6,74,NA,2
422,NA,NA,2,NA,1,NA,56,NA,NA
423,NA,1,NA,NA,2,2,NA,1,NA
424,2,1,NA,2,2,12,79,NA,NA
425,1,NA,1,1,NA,1,19,3,2
426,NA,1,NA,1,2,NA,NA,NA,2
427,NA,1,NA,NA,NA,2,NA,NA,NA
428,NA,1,1,1,2,NA,NA,NA,2
429,NA,NA,NA,NA,NA,NA,26,1,2
430,NA,NA,1,1,2,NA,NA,3,2
431,2,1,NA,NA,2,16,80,3,NA
432,2,NA,1,1,NA,NA,NA,NA,2
433,NA,1,NA,2,NA,NA,NA,NA,NA
434,NA,1,1,2,2,NA,NA,1,2
435,NA,1,NA,2,1,2,NA,4,2
436,2,NA,1,2,NA,NA,74,1,1
437,NA,1,1,1,2,8,26,1,NA
438,2,1,NA,NA,2,NA,NA,3,2
439,NA,NA,NA,NA,2,5,10,1,2
440,NA,1,1,NA,3,NA,5,1,2
441,1,NA,NA,NA,1,NA,75,1,NA
442,2,NA,NA,2,NA,NA,18,NA,2
443,2,1,1,1,NA,10,NA,NA,NA
444,2,1,NA,1,1,8,58,2,2
445,NA,2,NA,NA,2,4,64,NA,2
446,2,NA,NA,1,2,5,53,3,NA
447,1,2,NA,1,2,2,49,NA,2
448,1,1,NA,1,1,NA,34,NA,2
449,1,1,1,1,NA,NA,NA,2,1
450,2,1,2,1,2,1,29,NA,2
451,2,NA,1,NA,NA,NA,NA,1,2
452,2,NA,1,1,NA,12,4,1,2
453,1,1,NA,NA,2,15,77,1,2
454,2,1,1,2,3,1,67,1,2
455,1,1,NA,1,NA,3,NA,1,2
456,NA,1,NA,2,NA,11,NA,1,NA
457,NA,2,1,2,NA,10,NA,NA,NA
458,1,NA,1,NA,1,15,7,NA,2
459,2,NA,NA,NA,1,12,NA,1,2
460,1,1,1,NA,1,6,82,1,2
461,NA,NA,NA,2,NA,11,NA,1,NA
462,NA,1,1,2,1,14,79,1,NA
463,NA,1,NA,2,NA,2,NA,NA,2
464,1,1,1,1,NA,13,NA,NA,NA
465,2,NA,1,NA,2,2,48,NA,2
466,1,NA,NA,1,2,NA,NA,1,NA
467,2,1,NA,NA,NA,6,85,1,NA
468,2,NA,1,2,NA,3,NA,NA,2
469,2,1,1,2,NA,14,NA,1,2
470,1,1,1,NA,NA,NA,79,1,2
471,NA,1,NA,2,3,7,73,NA,2
472,2,NA,NA,1,1,4,7,1,2
473,2,1,NA,1,NA,NA,63,1,NA
474,1,NA,1,NA,NA,8,31,NA,2
475,1,2,NA,2,2,4,NA,3,NA
476,1,1,NA,NA,1,1,6,3,2
477,1,1,NA,NA,2,3,8,1,NA
478,2,1,1,NA,1,NA,NA,NA,NA
479,1,NA,NA,1,2,NA,NA,1,2
480,2,NA,1,2,1,NA,28,3,2
481,1,NA,NA,1,2,NA,NA,3,2
482,1,1,NA,NA,2,4,8,1,NA
483,NA,1,1,1,1,9,79,NA,NA
484,1,NA,1,NA,1,NA,NA,NA,NA
485,1,1,NA,NA,3,4,NA,1,2
486,1,1,1,NA,NA,NA,NA,1,2
487,NA,1,2,NA,1,14,NA,1,2
488,1,NA,1,NA,NA,NA,NA,1,2
489,2,1,NA,2,NA,NA,NA,2,2
490,2,NA,1,2,NA,5,57,NA,2
491,NA,2,1,NA,2,NA,85,NA,2
492,1,1,1,1,NA,1,NA,1,2
493,NA,1,1,NA,3,NA,11,NA,2
494,2,1,NA,2,1,6,NA,NA,NA
495,2,1,NA,1,NA,3,37,3,2
496,2,1,NA,2,3,8,NA,1,NA
497,2,NA,NA,2,1,NA,87,NA,2
498,NA,1,1,NA,NA,NA,26,NA,2
499,NA,1,NA,NA,3,7,NA,NA,2
500,1,1,1,NA,2,5,NA,NA,2
501,NA,1,1,NA,NA,10,79,1,2
502,1,1,1,NA,1,3,63,1,NA
503,2,1,1,2,2,NA,NA,1,2
504,2,1,1,NA,NA,15,NA,NA,NA
505,1,NA,1,2,2,12,NA,NA,2
506,2,1,1,NA,NA,NA,74,1,2
507,NA,1,NA,NA,2,NA,NA,NA,2
508,2,NA,NA,1,2,NA,NA,1,1
509,1,1,1,1,NA,12,81,1,NA
510,NA,1,NA,NA,1,NA,79,1,NA
511,NA,NA,1,NA,2,NA,NA,NA,NA
512,2,1,NA,NA,1,NA,NA,1,NA
513,1,NA,NA,2,NA,7,57,1,2
514,2,NA,NA,NA,3,3,NA,1,2
515,2,1,1,NA,1,7,67,2,NA
516,NA,NA,1,NA,1,10,78,3,2
517,NA,1,NA,NA,NA,13,NA,NA,NA
518,1,1,NA,1,NA,14,NA,1,2
519,2,1,NA,1,NA,NA,57,2,2
520,2,1,1,NA,NA,2,NA,NA,NA
521,NA,NA,NA,2,2,14,NA,NA,2
522,1,NA,1,1,3,9,NA,1,2
523,2,1,NA,NA,2,NA,30,NA,NA
524,2,NA,NA,2,NA,NA,54,1,NA
525,NA,NA,1,NA,1,8,45,3,2
526,2,1,NA,NA,1,10,NA,NA,NA
527,1,NA,NA,2,2,NA,NA,NA,2
528,1,1,1,NA,2,7,88,NA,NA
529,2,NA,1,1,3,NA,NA,2,NA
530,NA,1,NA,1,1,11,NA,NA,2
531,2,NA,1,2,NA,NA,NA,1,NA
532,NA,NA,NA,NA,NA,NA,18,3,NA
533,2,1,NA,NA,1,NA,5,NA,2
534,2,NA,1,1,2,13,4,4,NA
535,NA,1,NA,NA,NA,4,60,1,2
536,2,1,1,2,NA,4,NA,1,NA
537,1,NA,1,1,1,14,NA,1,2
538,NA,1,1,NA,NA,7,52,NA,2
539,1,1,NA,1,NA,NA,60,NA,NA
540,2,1,2,2,2,1,83,1,2
541,NA,NA,1,NA,3,NA,75,4,2
542,NA,1,1,1,NA,NA,53,1,2
543,1,1,1,1,NA,16,86,NA,NA
544,NA,2,1,2,2,NA,70,NA,2
545,NA,2,1,NA,2,11,NA,NA,NA
546,2,1,1,NA,NA,12,NA,1,2
547,2,1,1,NA,NA,10,NA,1,NA
548,1,NA,1,NA,NA,NA,NA,1,2
549,1,NA,NA,NA,NA,NA,8,NA,NA
550,2,1,NA,2,2,7,37,1,NA
551,2,NA,1,2,NA,NA,NA,1,2
552,1,NA,NA,1,2,4,NA,1,NA
553,NA,NA,1,2,2,NA,NA,1,2
554,NA,NA,1,2,2,12,51,1,2
555,1,1,NA,2,NA,1,NA,1,2
556,NA,1,NA,NA,NA,NA,72,1,2
557,1,1,1,NA,NA,11,74,NA,2
558,NA,1,1,1,3,12,NA,2,NA
559,2,NA,NA,1,NA,11,54,1,NA
560,2,1,NA,2,2,10,30,1,2
561,1,NA,NA,NA,1,7,70,NA,2
562,NA,1,NA,1,2,NA,NA,1,NA
563,2,NA,NA,NA,NA,NA,30,1,2
564,NA,1,NA,1,2,NA,NA,1,2
565,1,1,1,1,2,6,NA,NA,2
566,2,1,2,2,2,9,NA,1,NA
567,NA,NA,NA,2,3,11,18,1,2
568,2,2,1,NA,NA,7,10,NA,1
569,NA,NA,1,2,1,3,NA,NA,2
570,NA,NA,NA,1,1,3,49,NA,2
571,1,NA,NA,NA,1,6,11,NA,2
572,NA,1,NA,NA,1,NA,NA,1,2
573,NA,NA,NA,1,NA,4,9,NA,NA
574,1,1,NA,1,NA,NA,78,1,NA
575,NA,NA,1,NA,NA,4,11,1,NA
576,2,1,1,2,NA,NA,54,1,2
577,2,1,1,2,1,NA,NA,1,2
578,NA,NA,1,NA,2,NA,NA,1,NA
579,2,NA,NA,NA,2,2,35,1,1
580,1,NA,1,2,2,NA,NA,1,2
581,NA,1,1,1,2,13,NA,NA,2
582,NA,1,1,1,NA,10,24,3,NA
583,NA,NA,1,NA,NA,NA,42,1,NA
584,NA,1,1,2,2,1,NA,1,2
