"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1","res_2","dem_1_sim","res_1_sim","res_2_sim","dem_2_sim","dem_3_sim","cwb_scale"
144,NA,NA,NA,1,1,9,66,1,NA,1,2,NA
145,NA,NA,NA,NA,NA,3,47,NA,3,1,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA
147,NA,NA,1,NA,2,3,NA,3,11,NA,2,NA
148,NA,NA,NA,NA,3,NA,3,NA,NA,1,2,NA
149,2,NA,NA,1,2,9,42,NA,8,NA,2,75.5
150,NA,1,NA,2,NA,12,52,NA,4,NA,2,NA
151,2,NA,2,NA,2,8,47,1,1,1,2,76.5
152,NA,2,1,NA,2,12,NA,1,10,1,2,NA
153,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA
154,1,NA,1,1,2,NA,80,NA,15,NA,NA,77.5
155,NA,1,NA,NA,3,4,25,1,8,NA,2,NA
156,1,1,1,NA,1,NA,25,2,6,NA,2,78.5
157,2,1,1,1,2,6,NA,1,14,3,2,79.5
158,2,1,1,NA,1,16,NA,2,1,1,2,80
159,NA,NA,NA,NA,2,NA,83,3,NA,1,2,NA
160,2,NA,NA,NA,1,11,62,2,2,1,2,81
161,2,1,NA,1,3,NA,NA,2,6,1,2,81.5
162,NA,2,NA,2,3,NA,32,NA,16,4,NA,NA
163,2,NA,NA,NA,2,6,38,3,6,NA,NA,82.5
164,NA,NA,NA,2,3,12,NA,2,NA,1,NA,NA
165,1,1,1,2,NA,NA,32,NA,15,1,NA,83
166,2,NA,NA,NA,1,NA,48,NA,3,1,2,84
167,NA,NA,NA,NA,1,NA,76,3,11,1,NA,NA
168,1,NA,NA,NA,NA,NA,57,3,7,1,2,84.5
169,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA
170,1,1,2,NA,2,NA,42,NA,NA,NA,2,85.5
171,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA
172,NA,1,NA,NA,NA,NA,81,3,NA,NA,2,NA
173,NA,1,NA,2,2,NA,NA,NA,13,2,NA,NA
174,NA,NA,1,NA,NA,8,59,NA,NA,1,NA,NA
175,NA,NA,NA,1,2,13,NA,NA,NA,1,2,NA
176,NA,1,1,1,2,11,8,1,11,1,2,NA
177,NA,1,1,NA,2,NA,28,1,NA,1,2,NA
178,NA,1,NA,NA,2,NA,20,NA,6,1,NA,NA
179,1,1,NA,NA,3,NA,NA,NA,9,1,1,90
180,NA,NA,1,NA,NA,NA,32,NA,NA,1,NA,NA
181,2,NA,NA,NA,NA,7,NA,NA,15,1,NA,91.5
182,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA
183,NA,1,NA,NA,2,NA,NA,1,8,2,2,NA
184,NA,NA,NA,NA,NA,4,55,1,NA,2,2,NA
185,2,NA,1,1,2,8,54,2,10,1,2,93.5
186,NA,1,1,1,2,4,NA,1,6,NA,2,NA
187,NA,NA,NA,NA,2,13,NA,2,15,1,2,NA
188,NA,1,1,1,NA,11,NA,NA,NA,1,NA,NA
189,1,1,NA,1,1,13,NA,2,10,3,2,95
190,NA,1,1,1,NA,1,31,1,13,1,2,NA
191,NA,1,NA,1,2,NA,3,1,NA,1,2,NA
192,2,NA,1,NA,NA,8,70,NA,11,1,NA,97
193,NA,NA,NA,2,2,NA,1,NA,4,2,NA,NA
194,1,NA,1,2,NA,6,31,2,NA,NA,NA,97.5
195,NA,1,NA,NA,2,NA,NA,2,NA,1,2,NA
196,NA,NA,NA,1,NA,2,20,2,12,2,2,NA
197,2,1,1,NA,NA,NA,NA,2,NA,1,NA,99.5
198,2,1,NA,NA,NA,11,45,NA,11,3,NA,100
199,2,NA,1,1,NA,10,25,NA,4,1,2,100.5
200,1,NA,NA,2,NA,15,7,2,6,2,NA,100.5
201,2,NA,NA,NA,1,9,NA,NA,10,3,2,101.5
202,NA,2,NA,2,2,5,90,NA,NA,NA,NA,NA
203,1,NA,1,NA,2,6,89,2,15,1,NA,102
204,NA,NA,NA,NA,2,NA,38,2,14,NA,2,NA
205,NA,NA,NA,NA,1,NA,8,2,16,NA,NA,NA
206,NA,NA,1,NA,1,13,NA,2,NA,NA,NA,NA
207,NA,NA,1,NA,2,NA,47,3,13,NA,2,NA
208,NA,1,1,NA,NA,5,77,NA,4,1,NA,NA
209,NA,NA,NA,NA,2,14,20,2,16,1,NA,NA
210,NA,NA,1,1,2,NA,66,3,4,1,NA,NA
211,NA,1,1,1,NA,NA,87,2,13,1,2,NA
212,NA,1,NA,1,2,7,61,2,11,1,2,NA
213,2,NA,1,NA,2,NA,NA,NA,3,4,2,107.5
214,2,NA,NA,NA,NA,10,39,NA,16,1,NA,108
215,2,1,NA,2,3,NA,79,NA,9,NA,NA,108.5
216,NA,NA,NA,2,1,NA,NA,2,NA,NA,2,NA
217,NA,NA,2,NA,1,NA,90,3,1,NA,2,NA
218,1,1,1,NA,1,9,57,NA,16,NA,2,109.5
219,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA
220,NA,1,NA,NA,NA,4,NA,3,3,NA,NA,NA
221,2,1,NA,NA,2,16,39,NA,16,1,NA,111.5
222,NA,NA,NA,NA,2,4,2,NA,NA,1,NA,NA
223,NA,1,NA,2,NA,3,13,2,10,1,2,NA
224,1,1,1,1,NA,13,62,NA,9,2,2,112.5
225,NA,1,NA,NA,NA,14,87,2,12,1,2,NA
226,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA
227,2,1,NA,NA,1,NA,88,3,15,NA,NA,114.5
228,2,2,NA,1,3,6,36,1,NA,NA,2,115
229,NA,1,1,NA,3,5,NA,NA,NA,1,NA,NA
230,NA,1,NA,NA,2,NA,55,2,NA,2,2,NA
231,NA,NA,1,2,NA,13,80,NA,NA,NA,2,NA
232,NA,1,NA,NA,3,4,52,NA,5,1,NA,NA
233,NA,1,NA,2,1,1,88,2,7,NA,NA,NA
234,NA,NA,1,NA,NA,10,NA,3,NA,4,2,NA
235,NA,1,1,NA,3,14,25,1,16,1,NA,NA
236,2,1,1,1,NA,10,14,NA,4,NA,2,119
237,2,1,NA,NA,NA,4,52,2,NA,1,2,119.5
238,NA,1,1,NA,2,NA,NA,2,7,1,2,NA
239,NA,1,1,NA,2,9,4,NA,6,1,2,NA
240,NA,1,NA,NA,1,9,NA,1,14,4,NA,NA
241,2,1,NA,NA,3,NA,NA,NA,6,1,NA,121.5
242,NA,1,1,NA,NA,3,5,3,12,1,NA,NA
243,NA,NA,NA,NA,NA,9,26,NA,NA,1,NA,NA
244,2,NA,NA,1,NA,NA,20,3,9,1,NA,123
245,NA,2,NA,NA,2,NA,16,NA,NA,1,1,NA
246,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA
247,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
248,1,1,NA,2,NA,3,NA,2,6,1,NA,124.5
249,NA,1,1,1,NA,15,NA,NA,4,1,NA,NA
250,NA,1,NA,NA,3,NA,NA,2,9,4,NA,NA
251,2,2,1,NA,NA,10,82,3,NA,1,2,126.5
252,2,1,1,NA,1,NA,NA,2,8,3,NA,127
253,2,1,NA,NA,1,9,49,NA,NA,1,2,127.5
254,NA,1,1,NA,2,8,33,NA,NA,1,2,NA
255,1,NA,1,NA,1,11,78,1,NA,1,NA,128
256,NA,1,2,NA,2,5,NA,1,14,NA,2,NA
257,NA,1,NA,1,2,16,34,NA,1,1,NA,NA
258,NA,NA,NA,2,NA,7,69,3,16,NA,2,NA
259,1,1,NA,NA,2,NA,NA,3,5,NA,2,130
260,NA,1,NA,NA,NA,16,NA,2,NA,1,2,NA
261,2,1,NA,NA,NA,5,68,NA,3,1,NA,131.5
262,NA,1,NA,NA,NA,16,NA,2,NA,1,2,NA
263,NA,NA,NA,NA,NA,16,NA,2,NA,3,NA,NA
264,NA,1,NA,NA,1,NA,58,NA,NA,1,2,NA
265,NA,1,NA,1,1,16,NA,NA,NA,1,2,NA
266,2,1,NA,NA,3,NA,28,2,12,1,1,134
267,NA,NA,1,NA,2,5,NA,NA,11,3,NA,NA
268,1,1,1,NA,2,12,80,NA,NA,4,2,134.5
269,NA,1,NA,1,NA,NA,57,2,15,1,NA,NA
270,1,1,NA,1,NA,8,NA,NA,5,1,2,135.5
271,NA,1,NA,NA,NA,2,NA,2,NA,1,2,NA
272,2,1,NA,NA,NA,NA,14,2,1,2,NA,137
273,NA,1,NA,NA,NA,6,79,NA,16,2,2,NA
274,NA,NA,1,1,1,8,NA,NA,1,NA,2,NA
275,NA,NA,NA,NA,1,14,83,NA,NA,1,2,NA
276,1,1,1,NA,NA,NA,69,2,15,NA,NA,138.5
277,NA,NA,NA,2,NA,5,88,2,5,1,2,NA
278,2,NA,1,1,2,6,NA,1,NA,NA,2,140
279,NA,1,NA,NA,NA,NA,55,2,16,NA,2,NA
280,NA,NA,2,NA,2,1,90,3,NA,1,2,NA
281,2,NA,NA,2,2,7,NA,NA,NA,1,NA,141.5
282,2,NA,NA,1,3,NA,NA,NA,6,NA,2,142
283,1,NA,NA,NA,NA,NA,NA,3,14,4,2,142
284,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA
285,NA,1,1,NA,2,12,38,NA,10,NA,2,NA
286,NA,NA,NA,NA,1,NA,46,2,9,NA,2,NA
287,NA,1,NA,2,NA,NA,NA,3,5,NA,2,NA
288,NA,1,1,NA,NA,2,NA,NA,NA,NA,2,NA
289,NA,1,NA,NA,2,NA,NA,1,NA,1,2,NA
290,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA
291,2,NA,NA,1,NA,NA,67,2,16,NA,2,146.5
292,1,NA,NA,2,NA,7,NA,2,NA,1,2,146.5
293,NA,1,1,NA,2,NA,NA,NA,8,1,NA,NA
294,1,1,NA,NA,2,13,NA,NA,NA,NA,2,147.5
295,NA,1,NA,NA,NA,16,NA,NA,NA,NA,2,NA
296,NA,1,NA,NA,2,2,73,3,7,3,NA,NA
297,NA,NA,NA,2,2,NA,20,2,15,4,NA,NA
298,NA,1,NA,NA,NA,NA,31,NA,9,NA,NA,NA
299,NA,NA,NA,1,NA,NA,52,NA,NA,1,2,NA
300,2,NA,NA,NA,NA,16,1,NA,13,1,2,151
301,2,NA,1,NA,2,NA,68,NA,6,1,NA,151.5
302,NA,1,NA,2,1,15,NA,NA,10,1,2,NA
303,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA
304,NA,NA,NA,NA,2,11,40,1,NA,1,2,NA
305,NA,NA,1,NA,2,NA,NA,1,7,1,2,NA
306,NA,NA,1,2,NA,NA,43,NA,2,NA,2,NA
307,1,1,NA,NA,3,6,NA,NA,9,NA,2,154
308,NA,1,NA,1,2,NA,8,2,NA,1,2,NA
309,NA,1,NA,2,2,NA,11,3,NA,1,2,NA
310,NA,1,NA,NA,2,14,6,3,6,NA,NA,NA
311,1,NA,NA,NA,NA,10,14,NA,3,NA,NA,156
312,NA,1,1,NA,3,NA,NA,NA,15,NA,2,NA
313,NA,NA,NA,NA,1,13,78,3,NA,1,2,NA
314,NA,NA,1,NA,3,2,29,2,NA,4,NA,NA
315,NA,2,NA,NA,NA,NA,7,NA,16,1,1,NA
316,2,1,NA,NA,NA,NA,NA,2,7,NA,2,159
317,2,1,1,NA,NA,2,2,3,NA,1,1,159.5
318,1,NA,1,2,1,NA,NA,2,2,NA,NA,159.5
319,NA,1,NA,2,2,8,NA,3,NA,1,2,NA
320,NA,NA,NA,2,NA,6,8,1,4,NA,2,NA
321,NA,1,NA,2,NA,NA,11,3,NA,1,NA,NA
322,NA,NA,1,NA,2,12,46,1,13,1,NA,NA
323,1,NA,NA,NA,NA,NA,NA,NA,13,3,2,162
324,NA,NA,1,1,NA,11,NA,1,15,1,NA,NA
325,NA,NA,NA,1,2,4,83,NA,6,NA,2,NA
326,2,1,NA,NA,NA,3,NA,NA,1,2,2,164
327,2,1,NA,NA,2,7,70,1,NA,1,NA,164.5
328,NA,1,1,NA,NA,6,6,2,12,2,NA,NA
329,NA,NA,NA,NA,NA,11,NA,NA,NA,4,2,NA
330,1,1,NA,NA,NA,3,10,2,NA,NA,2,165.5
331,NA,NA,NA,NA,NA,3,1,3,1,1,NA,NA
332,1,1,NA,NA,3,11,43,2,NA,1,2,166.5
333,NA,1,NA,NA,2,16,71,NA,15,NA,NA,NA
334,NA,NA,NA,1,2,NA,65,3,NA,NA,2,NA
335,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA
336,NA,1,1,NA,NA,12,63,NA,5,1,2,NA
337,NA,1,1,1,2,NA,NA,2,5,2,NA,NA
338,2,NA,NA,1,2,14,76,2,NA,NA,NA,170
339,2,1,NA,NA,2,2,NA,NA,NA,3,2,170.5
340,NA,2,NA,2,2,NA,83,NA,11,1,NA,NA
341,NA,2,1,2,1,NA,NA,2,5,1,NA,NA
342,2,1,NA,1,NA,5,NA,NA,1,NA,2,172
343,NA,NA,NA,NA,2,9,62,2,NA,1,2,NA
344,1,1,NA,NA,1,NA,84,2,NA,1,NA,172.5
345,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
346,NA,NA,1,NA,1,NA,NA,NA,NA,1,2,NA
347,NA,1,NA,1,NA,9,NA,2,NA,NA,2,NA
348,NA,1,2,1,NA,15,71,NA,3,NA,NA,NA
349,1,1,NA,NA,1,2,49,NA,5,2,NA,175
350,NA,1,1,2,NA,10,58,NA,15,1,NA,NA
351,NA,NA,NA,NA,NA,14,3,NA,7,NA,2,NA
352,1,1,1,NA,1,NA,NA,NA,NA,1,2,176.5
353,2,NA,NA,1,2,9,79,NA,13,3,NA,177.5
354,NA,1,NA,NA,2,NA,NA,2,2,NA,NA,NA
355,NA,1,NA,NA,1,13,74,3,NA,1,NA,NA
356,NA,1,NA,2,1,NA,NA,2,7,1,2,NA
357,NA,2,NA,2,3,NA,53,2,10,NA,2,NA
358,NA,NA,NA,NA,3,8,27,2,16,NA,2,NA
359,NA,1,2,NA,NA,NA,75,3,15,1,2,NA
360,NA,NA,1,NA,3,12,26,NA,8,2,2,NA
361,NA,1,1,1,3,9,35,1,NA,NA,2,NA
362,NA,NA,NA,NA,2,NA,48,2,NA,1,2,NA
363,NA,NA,NA,NA,NA,NA,79,NA,4,NA,NA,NA
364,1,1,NA,1,NA,6,NA,NA,11,1,2,182.5
365,NA,NA,NA,1,NA,3,75,NA,15,1,NA,NA
366,2,NA,1,2,2,NA,NA,NA,7,1,NA,184
367,1,1,1,NA,2,NA,NA,1,NA,1,2,184
368,NA,1,NA,1,2,9,52,1,3,NA,2,NA
369,NA,1,NA,NA,3,13,NA,NA,13,1,NA,NA
370,NA,NA,1,NA,2,NA,NA,NA,6,4,2,NA
371,NA,1,1,NA,1,NA,NA,1,12,1,2,NA
372,NA,2,NA,2,NA,NA,58,NA,NA,NA,2,NA
373,1,1,1,NA,3,9,NA,1,5,1,2,187
374,2,1,NA,2,NA,NA,NA,3,NA,1,NA,188
375,NA,1,1,NA,3,11,36,1,12,NA,2,NA
376,2,NA,2,1,1,NA,4,1,9,2,1,189
377,1,NA,NA,1,2,12,54,3,NA,NA,2,189
378,NA,1,NA,2,NA,NA,NA,2,5,1,2,NA
379,NA,NA,NA,NA,1,NA,71,2,NA,NA,2,NA
380,NA,NA,NA,NA,NA,12,1,3,NA,NA,2,NA
381,NA,1,NA,NA,2,NA,31,1,15,4,2,NA
382,NA,1,NA,2,NA,NA,NA,1,2,3,2,NA
383,NA,NA,NA,NA,1,NA,30,NA,NA,NA,NA,NA
384,2,1,1,NA,1,10,14,NA,4,NA,NA,193
385,NA,1,NA,NA,2,NA,85,NA,NA,NA,2,NA
386,2,NA,1,1,NA,NA,NA,NA,2,1,NA,194
387,NA,1,1,1,3,NA,82,NA,15,1,2,NA
388,NA,1,NA,NA,NA,10,16,3,12,NA,1,NA
389,1,1,NA,NA,NA,NA,NA,2,NA,1,2,195
390,NA,1,1,NA,NA,1,19,2,NA,3,2,NA
391,2,1,1,NA,2,NA,27,2,12,2,1,196.5
392,NA,NA,NA,2,NA,10,67,2,NA,NA,2,NA
393,1,NA,NA,NA,2,2,87,NA,NA,1,2,197
394,2,1,NA,NA,2,NA,NA,NA,13,NA,2,198
395,NA,1,2,2,NA,NA,15,1,9,NA,2,NA
396,NA,NA,1,NA,2,1,28,NA,16,2,2,NA
397,2,1,1,NA,2,NA,NA,NA,5,1,NA,199.5
398,1,1,NA,NA,NA,10,10,2,NA,1,2,199.5
399,NA,NA,1,1,NA,1,90,2,NA,NA,2,NA
400,2,1,1,NA,2,1,NA,2,NA,1,NA,201
401,NA,1,NA,NA,3,14,21,NA,7,NA,2,NA
402,NA,NA,NA,NA,2,NA,64,1,5,NA,NA,NA
403,NA,1,NA,NA,1,NA,NA,1,2,1,NA,NA
404,2,1,1,NA,3,NA,46,2,NA,4,NA,203
405,2,NA,NA,NA,1,NA,66,2,NA,2,2,203.5
406,1,NA,1,NA,2,6,25,2,6,4,2,203.5
407,1,NA,NA,1,NA,4,50,NA,3,NA,NA,204
408,NA,1,NA,2,1,1,NA,NA,8,NA,2,NA
409,2,1,NA,2,2,NA,60,3,5,4,2,205.5
410,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
411,NA,1,1,2,2,NA,NA,2,NA,NA,2,NA
412,NA,NA,1,1,NA,NA,5,1,2,NA,NA,NA
413,NA,1,NA,1,1,14,NA,NA,13,1,2,NA
414,NA,NA,NA,NA,2,NA,NA,3,NA,1,NA,NA
415,2,1,NA,1,1,12,45,2,14,1,2,208.5
416,NA,NA,NA,NA,3,NA,3,1,12,NA,2,NA
417,NA,NA,1,NA,3,4,NA,2,1,NA,NA,NA
418,NA,1,1,NA,2,11,NA,NA,NA,NA,2,NA
419,1,1,1,NA,NA,NA,66,NA,1,NA,NA,210
420,2,NA,NA,NA,NA,NA,64,NA,13,NA,2,211
421,NA,1,1,NA,1,NA,32,2,NA,1,2,NA
422,NA,NA,NA,NA,2,2,NA,NA,NA,NA,2,NA
423,NA,1,NA,2,2,NA,NA,3,12,1,NA,NA
424,NA,1,1,NA,NA,NA,74,2,NA,1,NA,NA
425,NA,NA,1,NA,2,9,NA,1,13,NA,2,NA
426,2,1,NA,NA,NA,2,NA,2,9,1,2,214
427,2,1,NA,NA,1,NA,70,3,NA,NA,2,214.5
428,NA,1,NA,NA,2,14,9,NA,NA,NA,2,NA
429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
