"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1_sim","res_2_sim","dem_1_sim","dem_2_sim","dem_3_sim"
60,2,1,1,2,3,NA,8,1,NA
61,NA,1,NA,1,2,NA,NA,1,NA
62,2,1,NA,NA,NA,NA,30,1,2
63,NA,NA,1,NA,NA,NA,NA,1,NA
64,2,NA,1,2,NA,4,NA,NA,2
65,2,1,1,2,NA,3,NA,NA,1
66,2,NA,NA,NA,NA,NA,NA,1,2
67,2,1,1,1,1,16,NA,1,2
68,1,1,1,2,3,NA,NA,1,2
69,2,2,1,1,2,11,60,NA,2
70,2,NA,1,2,2,NA,27,NA,NA
71,NA,NA,1,2,NA,5,NA,NA,NA
72,1,NA,1,1,2,NA,28,1,NA
73,1,1,NA,NA,NA,15,47,1,NA
74,NA,1,1,NA,2,NA,85,1,NA
75,2,1,NA,2,1,NA,28,NA,NA
76,NA,1,2,1,NA,NA,23,1,NA
77,2,1,1,1,2,NA,71,NA,2
78,NA,1,1,NA,NA,4,79,NA,NA
79,2,1,NA,NA,2,14,85,1,NA
80,2,1,1,2,NA,16,16,1,2
81,2,1,2,NA,NA,11,18,1,NA
82,1,1,1,NA,NA,NA,30,1,2
83,1,NA,NA,2,NA,NA,33,1,2
84,2,1,1,1,2,10,NA,NA,2
85,NA,1,NA,1,NA,NA,51,1,2
86,1,NA,1,NA,NA,5,NA,NA,NA
87,NA,NA,2,NA,NA,5,NA,NA,NA
88,2,NA,NA,2,NA,14,NA,2,NA
89,NA,NA,NA,1,3,NA,57,1,2
90,NA,NA,1,NA,NA,NA,NA,1,NA
91,1,NA,NA,1,NA,NA,66,2,2
92,1,1,1,2,1,NA,NA,NA,2
93,NA,NA,1,1,2,NA,13,NA,NA
94,NA,NA,1,2,1,NA,63,1,2
95,2,NA,1,1,NA,NA,12,NA,2
96,1,1,1,NA,3,10,NA,1,2
97,NA,NA,1,NA,NA,NA,6,1,2
98,NA,NA,1,2,1,NA,33,2,NA
99,NA,1,NA,2,2,NA,38,4,NA
100,NA,NA,1,2,2,1,33,NA,NA
101,2,2,NA,2,1,11,NA,3,2
102,NA,1,1,NA,3,1,NA,1,NA
103,2,NA,1,2,NA,NA,NA,2,2
104,2,1,1,1,NA,13,NA,NA,2
105,2,1,NA,NA,3,NA,21,NA,2
106,NA,1,NA,NA,2,14,NA,1,NA
107,NA,1,NA,1,1,7,NA,1,NA
108,1,NA,NA,1,3,NA,NA,NA,NA
109,1,1,NA,1,1,7,29,4,2
110,1,1,1,2,NA,NA,NA,1,NA
111,NA,NA,1,NA,2,3,NA,NA,2
112,1,1,NA,2,NA,2,NA,NA,NA
113,NA,NA,NA,1,3,NA,NA,1,2
114,NA,NA,1,NA,NA,NA,NA,1,NA
115,1,NA,1,1,2,7,NA,1,1
116,NA,NA,NA,2,2,NA,25,1,NA
117,2,NA,NA,2,NA,NA,22,1,NA
118,1,1,NA,1,2,5,NA,1,NA
119,NA,1,1,NA,NA,10,NA,1,NA
120,2,2,NA,NA,3,NA,25,NA,2
121,NA,NA,1,1,2,5,18,1,2
122,1,1,NA,1,1,NA,NA,1,NA
123,NA,NA,1,NA,NA,NA,56,NA,2
124,2,1,NA,2,3,NA,2,3,NA
125,1,1,1,NA,NA,13,NA,NA,2
126,2,1,1,1,2,NA,86,NA,NA
127,NA,1,2,1,3,7,26,NA,NA
128,1,1,NA,NA,3,NA,49,1,1
129,NA,1,1,2,NA,16,21,1,2
130,2,NA,NA,2,1,1,NA,NA,2
131,NA,NA,1,NA,1,9,79,NA,NA
132,NA,1,NA,2,1,3,14,NA,NA
133,2,NA,1,NA,1,NA,NA,NA,2
134,NA,2,NA,NA,1,NA,17,1,NA
135,1,NA,1,1,3,12,17,NA,2
136,1,NA,NA,2,2,NA,21,2,NA
137,1,NA,NA,2,1,NA,NA,1,NA
138,2,NA,NA,2,NA,NA,52,NA,NA
139,NA,1,NA,NA,1,8,31,NA,2
140,NA,NA,1,1,NA,9,2,NA,2
141,NA,NA,1,NA,NA,NA,4,2,2
142,1,1,NA,NA,NA,NA,NA,NA,NA
143,NA,1,1,NA,NA,NA,24,2,NA
144,NA,1,1,2,2,NA,5,NA,NA
145,1,1,1,2,2,NA,0,1,2
146,2,NA,1,2,2,11,NA,3,NA
147,2,1,1,2,1,NA,NA,1,2
148,1,1,1,2,NA,NA,NA,NA,2
149,1,1,1,2,NA,3,42,NA,2
150,NA,1,1,1,2,NA,31,NA,NA
151,2,1,1,2,NA,NA,19,2,NA
152,1,2,NA,1,1,NA,53,NA,2
153,NA,1,NA,1,3,15,NA,NA,1
154,NA,NA,1,1,NA,10,62,1,2
155,2,1,NA,NA,2,NA,66,1,2
156,NA,1,1,1,2,6,1,NA,2
157,2,1,NA,1,2,12,NA,NA,2
158,2,1,1,2,NA,NA,61,NA,2
159,NA,NA,1,1,2,15,NA,NA,NA
160,1,1,1,NA,1,15,NA,1,2
161,2,1,1,2,2,NA,39,2,2
162,1,1,1,2,2,NA,8,1,2
163,NA,NA,NA,2,2,8,46,1,NA
164,2,2,NA,NA,NA,6,31,1,NA
165,NA,1,1,2,NA,NA,26,1,NA
166,2,1,1,NA,1,15,8,1,NA
167,2,1,NA,1,2,NA,NA,NA,NA
168,1,1,1,NA,1,8,NA,1,2
169,2,NA,NA,NA,1,13,43,2,2
170,NA,1,1,2,NA,6,82,1,2
171,1,2,1,2,NA,15,NA,NA,2
172,2,NA,NA,1,2,NA,18,NA,NA
173,1,NA,NA,1,1,16,NA,1,NA
174,2,NA,NA,1,NA,5,NA,NA,2
175,NA,NA,NA,NA,2,16,NA,1,2
176,2,NA,1,1,2,NA,NA,NA,NA
177,NA,NA,1,2,2,1,80,3,NA
178,2,NA,NA,1,2,5,19,3,2
179,1,NA,1,NA,1,2,NA,3,NA
180,NA,2,NA,NA,NA,4,24,4,NA
181,1,NA,NA,1,1,NA,NA,1,2
182,2,NA,1,1,3,13,53,NA,NA
183,NA,2,NA,1,NA,NA,13,3,2
184,1,1,NA,1,1,4,NA,1,2
185,NA,NA,1,NA,3,NA,NA,3,NA
186,2,NA,NA,2,NA,NA,41,NA,2
187,2,1,NA,NA,1,NA,82,NA,NA
188,2,NA,NA,2,2,15,87,1,2
189,2,1,NA,NA,NA,16,NA,NA,NA
190,NA,1,NA,NA,NA,NA,NA,NA,2
191,2,1,1,NA,2,NA,54,2,NA
192,NA,1,1,2,NA,5,43,1,2
193,2,NA,1,1,NA,NA,12,4,2
194,NA,NA,1,NA,3,8,NA,1,NA
195,1,1,NA,NA,NA,10,NA,1,2
196,2,NA,NA,1,1,NA,NA,NA,2
197,2,NA,NA,1,1,8,NA,NA,2
198,1,NA,NA,NA,2,NA,87,NA,NA
199,2,1,1,NA,NA,15,90,3,NA
200,NA,1,1,1,3,4,82,NA,NA
201,NA,1,1,1,3,8,NA,NA,2
202,NA,1,1,1,2,16,17,3,1
203,NA,1,1,1,1,6,NA,4,2
204,2,1,NA,2,1,15,33,1,2
205,NA,NA,1,2,1,NA,22,NA,2
206,1,NA,1,2,NA,13,26,3,2
207,2,1,2,1,NA,NA,75,1,2
208,1,NA,1,NA,3,NA,69,3,2
209,2,1,1,NA,2,NA,35,NA,2
210,2,NA,NA,1,2,1,NA,NA,1
211,2,NA,1,2,1,3,NA,NA,2
212,2,NA,1,NA,2,7,NA,NA,NA
213,1,1,1,1,1,6,NA,1,2
214,NA,1,NA,NA,NA,NA,34,2,2
215,NA,NA,1,NA,NA,NA,NA,1,NA
216,NA,1,NA,1,NA,14,NA,NA,2
217,2,2,NA,1,3,NA,4,4,2
218,NA,NA,NA,2,3,12,75,NA,2
219,NA,1,1,1,NA,NA,49,1,2
220,1,NA,NA,1,1,10,NA,NA,2
221,NA,1,NA,NA,2,11,NA,NA,2
222,NA,1,1,NA,NA,6,22,NA,2
223,2,1,1,2,NA,NA,51,NA,2
224,1,1,1,NA,3,7,68,NA,2
225,2,1,NA,NA,NA,8,12,1,NA
226,2,1,NA,NA,1,NA,45,1,NA
227,NA,2,2,NA,1,NA,81,NA,2
228,NA,1,2,NA,NA,6,NA,1,2
229,1,1,1,NA,NA,8,NA,1,2
230,1,2,1,2,3,15,59,1,2
231,1,NA,NA,1,2,14,NA,2,2
232,NA,1,NA,NA,3,NA,22,NA,2
233,1,1,1,NA,1,8,47,2,NA
234,2,1,1,2,2,16,5,1,2
235,1,NA,1,NA,1,6,NA,NA,NA
236,NA,NA,1,1,2,NA,6,NA,2
237,2,NA,1,NA,1,NA,80,1,NA
238,2,NA,1,1,2,16,62,NA,NA
239,1,1,1,NA,NA,16,NA,NA,NA
240,NA,NA,1,1,1,NA,21,1,2
241,1,1,1,2,1,15,16,NA,2
242,1,1,1,NA,2,2,NA,1,NA
243,NA,1,NA,NA,2,NA,NA,NA,NA
244,2,1,NA,1,2,NA,50,4,NA
245,2,1,NA,1,2,9,7,1,2
246,2,1,NA,1,3,3,NA,NA,2
247,1,1,1,NA,NA,NA,NA,NA,NA
248,1,1,1,2,NA,NA,62,1,NA
249,2,1,NA,NA,2,4,10,1,NA
250,2,1,NA,NA,NA,1,49,NA,2
251,2,NA,1,1,NA,NA,NA,1,NA
252,1,1,NA,NA,2,10,NA,4,2
253,1,NA,1,NA,1,3,NA,1,NA
254,2,NA,NA,2,NA,16,NA,3,NA
255,NA,NA,1,NA,NA,NA,13,1,2
256,2,1,NA,1,NA,2,20,1,2
257,2,NA,1,2,NA,NA,NA,NA,NA
258,2,1,1,NA,1,15,NA,3,2
259,NA,1,NA,2,NA,16,14,NA,2
260,1,2,1,1,NA,NA,NA,1,NA
261,NA,1,1,2,NA,7,NA,NA,2
262,2,1,NA,NA,1,7,69,NA,NA
263,1,NA,1,1,3,NA,NA,NA,NA
264,2,1,1,2,2,8,90,2,NA
265,1,1,1,1,1,7,11,2,2
266,NA,NA,1,1,1,8,32,1,NA
267,1,1,NA,1,1,3,28,1,NA
268,2,1,1,1,NA,9,NA,NA,1
269,2,1,NA,2,2,NA,NA,2,2
270,NA,2,NA,1,2,NA,NA,1,2
271,2,NA,1,1,2,11,78,2,2
272,2,1,1,1,NA,10,NA,2,NA
273,NA,1,1,NA,3,3,7,NA,2
274,NA,1,NA,2,NA,11,44,1,2
275,2,1,NA,NA,1,NA,NA,NA,NA
276,2,NA,NA,NA,NA,NA,NA,NA,2
277,NA,1,1,2,3,5,67,1,NA
278,2,NA,NA,NA,NA,13,43,1,NA
279,NA,1,1,2,1,11,70,1,NA
280,1,1,1,NA,3,6,NA,NA,NA
281,2,NA,NA,NA,2,7,NA,NA,NA
282,NA,1,1,1,NA,14,NA,NA,2
283,2,NA,1,2,2,NA,90,NA,1
284,2,NA,NA,1,2,6,65,1,1
285,NA,NA,NA,1,2,11,NA,NA,2
286,NA,NA,1,NA,NA,3,35,1,NA
287,2,2,1,NA,3,3,NA,1,NA
288,2,1,1,2,NA,10,NA,1,1
289,NA,NA,1,NA,NA,NA,79,NA,2
290,2,1,NA,NA,3,NA,81,4,1
291,2,2,1,2,1,3,32,1,2
292,2,1,1,NA,NA,NA,NA,1,NA
293,1,NA,1,1,2,5,72,1,NA
294,2,NA,1,1,2,NA,7,1,2
295,1,2,1,1,NA,NA,NA,NA,2
296,1,1,1,2,2,11,65,1,2
297,NA,2,2,NA,2,5,0,NA,2
298,2,1,1,2,2,10,NA,NA,2
299,NA,1,1,1,NA,15,24,NA,2
300,NA,NA,NA,1,NA,NA,42,1,2
301,NA,NA,1,1,1,9,0,NA,2
302,1,NA,NA,1,1,13,86,1,2
303,NA,2,1,1,NA,7,77,2,2
304,NA,2,1,2,NA,2,30,NA,2
305,1,1,1,NA,NA,NA,NA,NA,2
306,NA,NA,1,1,1,15,1,1,2
307,NA,NA,1,NA,NA,NA,NA,NA,2
308,NA,1,1,2,1,2,71,NA,2
309,NA,1,1,NA,NA,NA,87,3,2
310,NA,1,1,NA,3,15,47,NA,2
311,NA,NA,NA,NA,NA,1,28,1,1
312,NA,1,1,2,2,NA,NA,NA,NA
313,NA,1,1,NA,1,NA,43,NA,2
314,2,NA,NA,NA,1,7,NA,1,2
315,1,1,NA,1,NA,4,18,1,2
316,2,NA,1,2,1,12,43,1,2
317,2,1,NA,NA,2,10,26,3,2
318,2,NA,NA,2,NA,NA,30,3,NA
319,2,1,NA,NA,NA,1,58,2,NA
320,2,1,1,1,1,NA,37,NA,2
321,NA,NA,NA,1,NA,5,NA,3,NA
322,1,1,1,NA,2,10,NA,1,2
323,NA,2,NA,NA,2,12,NA,NA,NA
324,2,NA,1,2,NA,3,86,3,NA
325,1,NA,1,2,2,9,NA,2,2
326,2,1,NA,1,NA,NA,24,1,2
327,1,NA,1,2,NA,4,60,NA,2
328,1,1,NA,1,2,7,NA,2,NA
329,1,1,NA,NA,NA,NA,79,1,2
330,NA,NA,NA,2,NA,NA,NA,1,2
331,NA,NA,1,1,2,3,NA,3,NA
332,2,1,NA,2,NA,NA,NA,NA,NA
333,2,1,1,NA,NA,NA,NA,NA,2
334,1,1,1,NA,1,14,NA,1,2
335,NA,1,NA,2,1,15,82,1,NA
336,NA,2,NA,NA,1,NA,NA,1,2
337,NA,NA,NA,NA,1,NA,68,1,2
338,NA,1,1,NA,NA,2,66,1,1
339,NA,1,NA,1,2,NA,NA,1,2
340,NA,NA,NA,1,NA,8,NA,3,2
341,1,1,1,NA,1,13,21,NA,2
342,NA,NA,1,1,3,4,30,NA,2
343,NA,1,1,NA,1,11,NA,1,NA
344,NA,1,1,1,NA,14,NA,1,NA
345,1,NA,NA,1,1,2,79,1,2
346,1,1,1,NA,2,NA,NA,NA,2
347,1,NA,NA,2,3,11,4,NA,NA
348,2,1,1,NA,NA,14,NA,1,NA
349,2,NA,1,2,NA,1,53,1,2
350,1,1,1,1,2,11,25,1,2
351,NA,1,1,1,2,NA,34,NA,NA
352,NA,NA,NA,NA,2,14,66,NA,NA
353,2,NA,NA,1,2,7,14,NA,2
354,1,NA,2,NA,NA,5,NA,NA,2
355,NA,NA,1,2,2,6,63,1,NA
356,1,1,NA,1,2,13,NA,1,NA
357,NA,1,NA,NA,NA,9,NA,1,NA
358,2,1,NA,1,1,11,NA,1,NA
359,2,1,1,2,1,8,NA,NA,2
360,2,NA,1,1,NA,16,NA,1,NA
361,2,1,NA,2,NA,NA,68,NA,NA
362,NA,NA,NA,NA,1,NA,71,4,NA
363,NA,NA,1,NA,NA,NA,NA,3,2
364,2,2,1,1,NA,8,NA,1,2
365,NA,NA,NA,2,2,10,NA,1,2
366,NA,NA,NA,NA,2,15,40,NA,2
367,2,1,NA,2,2,14,44,2,2
368,1,1,NA,2,NA,NA,58,3,NA
369,1,1,1,2,NA,13,NA,1,1
370,NA,1,NA,1,NA,NA,73,4,2
371,2,NA,1,NA,2,3,NA,NA,NA
372,2,NA,1,1,1,NA,4,1,2
373,2,NA,NA,NA,2,11,NA,1,NA
374,1,1,1,NA,2,5,65,1,2
375,2,1,NA,1,3,13,NA,NA,2
376,1,NA,1,1,2,15,27,1,NA
377,2,NA,NA,NA,2,3,NA,1,NA
378,1,1,1,2,NA,NA,NA,1,NA
379,2,1,1,NA,NA,NA,2,NA,2
380,NA,1,1,1,NA,7,NA,2,NA
381,1,1,1,NA,NA,NA,81,NA,2
382,2,1,1,1,3,NA,48,NA,NA
383,2,NA,2,NA,1,NA,NA,1,NA
384,2,1,2,2,2,7,NA,1,NA
385,NA,NA,1,1,NA,12,NA,1,2
386,NA,NA,NA,1,3,NA,NA,NA,2
387,2,NA,NA,2,NA,3,63,NA,2
388,1,1,1,1,NA,NA,NA,2,2
389,NA,NA,1,1,3,NA,2,NA,2
390,2,NA,1,1,3,13,NA,3,2
391,1,1,1,2,2,16,NA,1,2
392,2,1,1,NA,1,NA,84,1,2
393,2,1,NA,1,NA,7,NA,NA,2
394,2,1,NA,NA,2,9,33,NA,NA
395,2,1,1,NA,NA,NA,34,NA,NA
396,NA,1,1,2,NA,NA,59,1,NA
397,NA,1,1,1,3,NA,61,NA,NA
398,2,1,1,2,3,2,51,NA,NA
399,NA,NA,1,NA,1,12,30,NA,NA
400,NA,NA,1,NA,2,3,NA,NA,2
401,NA,1,NA,1,2,14,NA,1,NA
402,2,1,1,1,2,1,NA,NA,NA
403,NA,1,NA,2,NA,NA,17,NA,NA
404,2,NA,1,2,3,3,NA,NA,2
405,1,1,NA,NA,2,3,58,NA,2
406,2,NA,1,1,2,8,52,1,2
407,1,1,NA,NA,1,10,0,NA,2
408,NA,NA,1,NA,1,NA,5,1,NA
409,NA,1,NA,NA,NA,3,61,NA,2
410,2,1,1,2,1,NA,28,NA,2
411,NA,NA,NA,1,1,3,46,1,2
412,2,1,1,NA,1,3,NA,NA,1
413,NA,1,NA,NA,NA,NA,46,1,2
414,NA,1,1,NA,2,2,39,1,NA
415,2,1,1,1,1,1,79,NA,NA
416,NA,NA,NA,1,NA,4,NA,1,NA
417,NA,1,NA,1,2,NA,NA,1,2
418,NA,1,1,NA,3,8,80,1,NA
419,NA,1,1,1,2,NA,NA,NA,NA
420,2,NA,1,NA,3,12,18,1,NA
421,2,1,NA,2,2,NA,74,4,2
422,1,NA,2,NA,NA,4,NA,NA,2
423,1,1,NA,NA,NA,2,73,1,NA
424,2,1,1,NA,NA,12,79,1,2
425,1,NA,NA,1,1,NA,19,3,2
426,1,1,NA,1,NA,12,NA,NA,2
427,1,NA,1,2,NA,NA,NA,4,NA
428,2,1,1,1,2,10,21,NA,NA
429,2,NA,NA,NA,NA,1,NA,1,2
430,NA,NA,1,NA,2,12,29,NA,NA
431,2,1,1,1,NA,16,80,3,2
432,2,NA,1,NA,2,NA,NA,1,NA
433,1,1,NA,2,NA,NA,59,NA,NA
434,NA,NA,NA,2,2,6,NA,1,NA
435,2,NA,NA,NA,1,2,72,4,NA
436,NA,1,NA,2,2,NA,NA,NA,2
437,1,1,NA,1,2,8,26,1,2
438,2,1,1,2,NA,NA,67,NA,NA
439,1,1,NA,NA,NA,NA,10,1,2
440,2,1,NA,2,3,NA,NA,1,2
441,1,1,NA,1,NA,NA,75,NA,2
442,2,2,1,NA,NA,NA,NA,1,NA
443,2,1,1,1,3,10,NA,NA,NA
444,2,1,1,NA,NA,8,58,2,2
445,NA,NA,NA,1,NA,NA,64,1,2
446,NA,2,1,NA,NA,5,53,3,2
447,NA,2,1,NA,NA,2,49,3,2
448,1,1,1,1,NA,5,NA,3,2
449,1,1,1,1,2,NA,NA,NA,NA
450,2,1,2,1,2,1,29,1,2
451,2,1,1,NA,NA,8,NA,NA,NA
452,NA,1,NA,1,2,NA,4,1,2
453,1,NA,1,1,NA,NA,77,1,2
454,2,1,NA,2,3,1,67,1,2
455,1,1,1,1,NA,3,NA,1,NA
456,1,1,NA,NA,2,NA,67,1,NA
457,2,NA,1,2,1,10,NA,1,NA
458,1,1,NA,NA,NA,NA,7,1,2
459,NA,1,NA,NA,NA,12,18,1,NA
460,NA,1,1,1,1,NA,82,1,2
461,2,1,NA,NA,NA,11,NA,1,NA
462,1,1,NA,2,1,14,79,1,2
463,NA,NA,1,NA,3,NA,18,NA,NA
464,1,NA,1,1,3,13,NA,NA,NA
465,NA,NA,1,NA,2,NA,48,1,2
466,1,1,NA,1,NA,11,NA,NA,NA
467,2,1,1,NA,2,NA,NA,1,2
468,NA,1,NA,2,1,NA,60,NA,NA
469,2,1,1,2,2,NA,NA,NA,NA
470,1,1,1,2,2,NA,79,NA,1
471,NA,1,NA,2,NA,7,73,1,2
472,2,1,1,NA,NA,4,7,1,2
473,2,1,1,NA,2,NA,63,NA,2
474,1,1,1,NA,NA,8,NA,2,2
475,NA,2,1,NA,2,4,7,3,NA
476,1,1,1,2,NA,NA,6,3,2
477,1,1,1,NA,NA,3,8,1,2
478,NA,NA,1,1,1,NA,61,NA,NA
479,1,1,NA,NA,NA,16,NA,1,NA
480,NA,NA,1,NA,1,9,28,NA,2
481,NA,NA,2,NA,2,4,4,NA,NA
482,1,NA,1,NA,NA,4,8,1,1
483,2,NA,NA,1,1,9,79,1,2
484,NA,NA,1,NA,NA,15,NA,NA,2
485,1,NA,1,1,NA,4,52,NA,2
486,1,1,1,2,2,NA,NA,1,NA
487,NA,1,NA,2,1,NA,13,1,NA
488,NA,NA,NA,2,2,NA,NA,NA,2
489,2,1,1,NA,2,16,NA,2,NA
490,2,1,NA,2,1,5,NA,1,1
491,2,NA,1,2,2,NA,NA,NA,1
492,1,1,1,1,2,NA,21,1,NA
493,2,NA,1,2,NA,1,NA,1,2
494,NA,1,1,2,NA,6,30,NA,NA
495,2,1,1,1,NA,3,NA,3,2
496,2,1,1,NA,3,8,66,1,NA
497,2,1,1,NA,NA,3,NA,1,2
498,2,NA,NA,1,2,NA,26,NA,NA
499,1,1,NA,1,NA,NA,69,2,NA
500,1,1,1,1,NA,NA,66,NA,NA
501,2,NA,NA,2,3,NA,NA,1,2
502,1,1,1,2,1,NA,63,1,2
503,2,NA,1,2,2,5,NA,NA,2
504,2,1,1,2,NA,15,NA,2,NA
505,NA,1,1,NA,2,12,71,1,NA
506,2,1,1,2,1,NA,NA,1,2
507,1,NA,1,NA,NA,NA,NA,1,NA
508,2,1,NA,NA,2,11,28,NA,NA
509,1,1,1,1,2,NA,81,1,2
510,NA,1,NA,1,NA,6,NA,1,2
511,2,1,NA,2,2,NA,NA,3,NA
512,2,1,1,2,NA,NA,68,NA,NA
513,1,NA,NA,NA,NA,NA,NA,1,2
514,2,1,1,NA,NA,NA,2,NA,NA
515,NA,1,1,2,1,NA,67,2,2
516,2,1,NA,2,1,10,78,NA,2
517,2,NA,1,2,NA,NA,NA,NA,1
518,1,1,1,1,NA,NA,0,NA,2
519,2,NA,1,NA,2,NA,57,NA,2
520,2,1,1,2,NA,NA,63,1,NA
521,2,NA,1,NA,NA,14,54,2,NA
522,NA,NA,1,NA,3,9,77,1,NA
523,2,1,1,1,NA,NA,30,NA,2
524,2,1,1,NA,NA,NA,54,NA,2
525,2,NA,NA,NA,NA,8,45,3,2
526,NA,1,1,2,NA,NA,50,1,NA
527,NA,1,1,NA,NA,3,57,NA,2
528,1,NA,1,2,2,NA,88,1,NA
529,NA,1,1,NA,3,10,6,NA,NA
530,1,NA,NA,NA,NA,11,53,NA,NA
531,NA,1,NA,2,2,NA,NA,NA,2
532,2,1,NA,NA,NA,NA,NA,3,2
533,2,1,1,1,NA,3,NA,1,2
534,NA,1,NA,1,2,13,4,4,2
535,1,1,NA,NA,NA,NA,NA,1,2
536,2,1,1,2,2,4,NA,1,NA
537,1,1,1,NA,1,14,25,1,2
538,1,NA,NA,2,2,NA,52,1,NA
539,1,1,1,1,NA,13,NA,NA,NA
540,2,NA,2,2,2,1,83,1,2
541,1,NA,NA,NA,3,NA,75,NA,2
542,NA,1,NA,1,2,NA,53,NA,1
543,1,NA,1,1,1,16,NA,1,1
544,1,NA,NA,2,2,2,70,NA,NA
545,1,2,NA,1,NA,11,68,NA,NA
546,NA,1,1,1,NA,12,NA,1,NA
547,2,1,1,1,NA,NA,NA,1,NA
548,1,1,NA,1,2,NA,NA,1,NA
549,NA,1,1,NA,NA,NA,NA,NA,2
550,NA,1,1,2,NA,7,37,1,2
551,NA,1,1,NA,2,4,NA,NA,NA
552,NA,1,1,NA,2,4,46,1,NA
553,NA,NA,NA,2,2,3,NA,NA,2
554,2,NA,NA,NA,2,12,51,1,2
555,NA,1,1,2,NA,NA,12,NA,2
556,NA,NA,1,NA,NA,NA,NA,NA,2
557,1,NA,1,1,2,NA,NA,1,2
558,NA,NA,NA,1,3,12,44,2,NA
559,2,1,NA,NA,NA,11,NA,1,2
560,2,1,NA,2,NA,10,30,1,1
561,1,NA,NA,2,NA,7,70,1,2
562,NA,1,NA,NA,2,2,4,1,NA
563,2,1,2,NA,2,NA,NA,NA,2
564,NA,1,NA,1,NA,8,78,NA,NA
565,1,1,1,1,2,6,83,1,NA
566,NA,NA,2,2,2,9,53,NA,2
567,2,2,NA,NA,NA,11,18,1,2
568,2,2,1,2,2,NA,NA,1,2
569,1,2,NA,NA,1,3,88,1,NA
570,2,NA,NA,NA,NA,3,49,1,NA
571,1,NA,NA,1,NA,6,11,1,2
572,2,NA,NA,2,NA,15,NA,NA,2
573,1,1,NA,1,NA,NA,NA,2,NA
574,NA,1,1,1,NA,8,NA,NA,2
575,NA,1,NA,1,NA,NA,11,1,2
576,2,1,1,2,1,6,NA,1,2
577,2,1,1,2,1,6,18,NA,2
578,2,1,NA,2,NA,16,30,1,NA
579,NA,1,NA,2,NA,NA,35,1,2
580,NA,1,NA,2,2,4,47,NA,2
581,2,NA,1,1,2,13,13,2,NA
582,NA,NA,1,1,3,NA,24,3,2
583,1,1,NA,NA,1,NA,NA,NA,2
584,NA,NA,1,2,2,1,86,NA,2
585,2,1,1,2,2,16,79,1,2
586,1,NA,NA,NA,2,15,23,1,NA
587,1,NA,1,NA,2,16,NA,1,2
